route_id,route_short_name,stop_id,stop_name,sumo_stop_id
B42,B42,303345,ROCKAWAY PKY SUBWAY/ROCKAWAY PKY SUBWAY,bus_stop_303345
B42,B42,308044,ROCKAWAY PKY/GLENWOOD RD,bus_stop_308044
B42,B42,306590,ROCKAWAY PY/FLATLANDS AV,bus_stop_306590
B42,B42,303348,ROCKAWAY PY/AV J,bus_stop_303348
B42,B42,303349,ROCKAWAY PY/AV K,bus_stop_303349
B42,B42,303350,ROCKAWAY PY/AV L,bus_stop_303350
B42,B42,303351,ROCKAWAY PY/AV M,bus_stop_303351
B42,B42,303352,ROCKAWAY PY/AV N,bus_stop_303352
B42,B42,303353,ROCKAWAY PY/SEAVIEW AV,bus_stop_303353
B42,B42,306405,ROCKAWAY PKY/SCHENCK ST,bus_stop_306405
B42,B42,303355,ROCKAWAY PKY/SHORE PKY SR N,bus_stop_303355
B42,B42,308543,ROCKAWAY PKY/SKIDMORE AV,bus_stop_308543
B42,B42,303356,ROCKAWAY PY/SEAVIEW AV,bus_stop_303356
B42,B42,303357,ROCKAWAY PY/AV N,bus_stop_303357
B42,B42,303358,ROCKAWAY PY/AV M,bus_stop_303358
B42,B42,303359,ROCKAWAY PY/AV L,bus_stop_303359
B42,B42,303360,ROCKAWAY PY/AV K,bus_stop_303360
B42,B42,303361,ROCKAWAY PY/AV J,bus_stop_303361
B42,B42,308106,ROCKAWAY PKY /TRUCKLEMANS LN,bus_stop_308106
B42,B42,901534,ROCKAWAY PKWY/SUBWAY STA,bus_stop_901534
Q56,Q56,307899,VAN SINDEREN AV/FULTON ST,bus_stop_307899
Q56,Q56,304524,JAMAICA AV/GEORGIA AV,bus_stop_304524
Q56,Q56,304525,JAMAICA AV/PENNSYLVANIA AV,bus_stop_304525
Q56,Q56,304526,JAMAICA AV/WYONA ST,bus_stop_304526
Q56,Q56,304527,JAMAICA AV/BRADFORD ST,bus_stop_304527
Q56,Q56,304528,JAMAICA AV/VAN SICLEN AV,bus_stop_304528
Q56,Q56,304529,JAMAICA AV/SCHENCK AV,bus_stop_304529
Q56,Q56,304530,JAMAICA AV/JEROME ST,bus_stop_304530
Q56,Q56,304531,JAMAICA AV/WARWICK ST,bus_stop_304531
Q56,Q56,304532,JAMAICA AV/ELTON ST,bus_stop_304532
Q56,Q56,304533,JAMAICA AV/SHEPHERD AV,bus_stop_304533
Q56,Q56,304534,JAMAICA AV/HALE AV,bus_stop_304534
Q56,Q56,304535,JAMAICA AV/LOGAN ST,bus_stop_304535
Q56,Q56,304536,JAMAICA AV/EUCLID AV,bus_stop_304536
Q56,Q56,301493,JAMAICA AV/CRESCENT ST,bus_stop_301493
Q56,Q56,301494,JAMAICA AV/HEMLOCK ST,bus_stop_301494
Q56,Q56,304539,JAMAICA AV/AUTUMN AV,bus_stop_304539
Q56,Q56,304540,JAMAICA AV/NICHOLS AV,bus_stop_304540
Q56,Q56,307777,JAMAICA AV/ELDERT LA,bus_stop_307777
Q56,Q56,503377,JAMAICA AV/75 ST,bus_stop_503377
Q56,Q56,503378,JAMAICA AV/77 ST,bus_stop_503378
Q56,Q56,503379,JAMAICA AV/80 ST,bus_stop_503379
Q56,Q56,503380,JAMAICA AV/85 ST,bus_stop_503380
Q56,Q56,503381,JAMAICA AV/87 ST,bus_stop_503381
Q56,Q56,503382,JAMAICA AV/89 ST,bus_stop_503382
Q56,Q56,503383,JAMAICA AV/90 ST,bus_stop_503383
Q56,Q56,503384,JAMAICA AV/WOODHAVEN BL,bus_stop_503384
Q56,Q56,503385,JAMAICA AV/94 ST,bus_stop_503385
Q56,Q56,503386,JAMAICA AV/96 ST,bus_stop_503386
Q56,Q56,503387,JAMAICA AV/98 ST,bus_stop_503387
Q56,Q56,503388,JAMAICA AV/102 ST,bus_stop_503388
Q56,Q56,503389,JAMAICA AV/104 ST,bus_stop_503389
Q56,Q56,503390,JAMAICA AV/107 ST,bus_stop_503390
Q56,Q56,503391,JAMAICA AV/109 ST,bus_stop_503391
Q56,Q56,503392,JAMAICA AV/111 ST,bus_stop_503392
Q56,Q56,503393,JAMAICA AV/113 ST,bus_stop_503393
Q56,Q56,503394,JAMAICA AV/115 ST,bus_stop_503394
Q56,Q56,503395,JAMAICA AV/117 ST,bus_stop_503395
Q56,Q56,503396,JAMAICA AV/LEFFERTS BL,bus_stop_503396
Q56,Q56,503084,JAMAICA AV/121 ST,bus_stop_503084
Q56,Q56,503397,JAMAICA AV/124 ST,bus_stop_503397
Q56,Q56,503398,JAMAICA AV/126 ST,bus_stop_503398
Q56,Q56,503399,JAMAICA AV/130 ST,bus_stop_503399
Q56,Q56,503400,JAMAICA AV/132 ST,bus_stop_503400
Q56,Q56,504289,JAMAICA AV/134 ST,bus_stop_504289
Q56,Q56,503402,JAMAICA AV/VAN WYCK EP,bus_stop_503402
Q56,Q56,503825,JAMAICA AV/138 ST,bus_stop_503825
Q56,Q56,503404,JAMAICA AV/139 ST,bus_stop_503404
Q56,Q56,504196,JAMAICA AV/144 PL,bus_stop_504196
Q56,Q56,503727,JAMAICA AV/147 PL,bus_stop_503727
Q56,Q56,504984,JAMAICA AV/150 ST,bus_stop_504984
Q56,Q56,503200,JAMAICA AV/PARSONS BL,bus_stop_503200
Q56,Q56,553036,JAMAICA AV/160 ST,bus_stop_553036
Q56,Q56,503938,JAMAICA AV/GUY R BREWER BL,bus_stop_503938
Q56,Q56,503614,JAMAICA AV/165 ST,bus_stop_503614
Q56,Q56,503283,JAMAICA AV/168 ST,bus_stop_503283
Q56,Q56,501422,170 ST/JAMAICA AV,bus_stop_501422
Q24,Q24,904206,ARCHER AV/MERRICK BL,bus_stop_904206
Q24,Q24,504535,JAMAICA AV/165 ST,bus_stop_504535
Q24,Q24,503953,JAMAICA AV/162 ST,bus_stop_503953
Q24,Q24,503932,JAMAICA AV/PARSONS BL,bus_stop_503932
Q24,Q24,502145,JAMAICA AV/150 ST,bus_stop_502145
Q24,Q24,504001,JAMAICA AV/SUTPHIN BL,bus_stop_504001
Q24,Q24,504198,JAMAICA AV/144 ST,bus_stop_504198
Q24,Q24,504199,JAMAICA AV/QUEENS BL,bus_stop_504199
Q24,Q24,504201,VAN WYCK EP SR W/JAMAICA AV,bus_stop_504201
Q24,Q24,504202,VAN WYCK EP SR W/89 AV,bus_stop_504202
Q24,Q24,504203,VAN WYCK EP SR W/91 AV,bus_stop_504203
Q24,Q24,504204,ATLANTIC AV/VAN WYCK EXP W,bus_stop_504204
Q24,Q24,503666,ATLANTIC AV/130 ST,bus_stop_503666
Q24,Q24,503833,ATLANTIC AV/127 ST,bus_stop_503833
Q24,Q24,503662,ATLANTIC AV/124 ST,bus_stop_503662
Q24,Q24,503661,ATLANTIC AV/121 ST,bus_stop_503661
Q24,Q24,504205,ATLANTIC AV/LEFFERTS BL,bus_stop_504205
Q24,Q24,503659,ATLANTIC AV/117 ST,bus_stop_503659
Q24,Q24,503657,ATLANTIC AV/114 ST,bus_stop_503657
Q24,Q24,503655,ATLANTIC AV/111 ST,bus_stop_503655
Q24,Q24,503653,ATLANTIC AV/108 ST,bus_stop_503653
Q24,Q24,503650,ATLANTIC AV/104 ST,bus_stop_503650
Q24,Q24,503648,ATLANTIC AV/102 ST,bus_stop_503648
Q24,Q24,503646,ATLANTIC AV/100 ST,bus_stop_503646
Q24,Q24,504206,ATLANTIC AV/96 ST,bus_stop_504206
Q24,Q24,504207,ATLANTIC AV/WOODHAVEN BL,bus_stop_504207
Q24,Q24,504208,ATLANTIC AV/92 ST,bus_stop_504208
Q24,Q24,504209,ATLANTIC AV/90 ST,bus_stop_504209
Q24,Q24,504210,ATLANTIC AV/88 ST,bus_stop_504210
Q24,Q24,504211,ATLANTIC AV/85 ST,bus_stop_504211
Q24,Q24,504212,ATLANTIC AV/82 ST,bus_stop_504212
Q24,Q24,503682,ATLANTIC AV/80 ST,bus_stop_503682
Q24,Q24,503680,ATLANTIC AV/78 ST,bus_stop_503680
Q24,Q24,503678,ATLANTIC AV/76 ST,bus_stop_503678
Q24,Q24,503669,ATLANTIC AV/74 PL,bus_stop_503669
Q24,Q24,302166,ATLANTIC AV/GRANT AV,bus_stop_302166
Q24,Q24,302170,ATLANTIC AV/CRESCENT ST,bus_stop_302170
Q24,Q24,306568,ATLANTIC AV/CHESTNUT ST,bus_stop_306568
Q24,Q24,302172,ATLANTIC AV/LOGAN ST,bus_stop_302172
Q24,Q24,302173,ATLANTIC AV/HALE AV,bus_stop_302173
Q24,Q24,302174,ATLANTIC AV/SHEPHERD AV,bus_stop_302174
Q24,Q24,302175,ATLANTIC AV/LINWOOD ST,bus_stop_302175
Q24,Q24,302176,ATLANTIC AV/CLEVELAND ST,bus_stop_302176
Q24,Q24,302177,ATLANTIC AV/WARWICK ST,bus_stop_302177
Q24,Q24,302178,ATLANTIC AV/BARBEY ST,bus_stop_302178
Q24,Q24,302179,ATLANTIC AV/HENDRIX ST,bus_stop_302179
Q24,Q24,302180,ATLANTIC AV/MILLER AV,bus_stop_302180
Q24,Q24,302181,ATLANTIC AV/WYONA ST,bus_stop_302181
Q24,Q24,302182,ATLANTIC AV/PENNSYLVANIA AV,bus_stop_302182
Q24,Q24,301384,JAMAICA AV/FANCHON PL,bus_stop_301384
Q24,Q24,301973,JAMAICA AV/BROADWAY,bus_stop_301973
Q24,Q24,307238,FULTON ST/VAN SINDEREN AV,bus_stop_307238
Q24,Q24,301975,BROADWAY/CONWAY ST,bus_stop_301975
Q24,Q24,301976,BROADWAY/EASTERN PY,bus_stop_301976
Q24,Q24,301977,BROADWAY/ABERDEEN ST,bus_stop_301977
Q24,Q24,301978,BROADWAY/GRANITE ST,bus_stop_301978
Q24,Q24,301979,BROADWAY/CHAUNCEY ST,bus_stop_301979
Q24,Q24,301980,BROADWAY/COOPER ST,bus_stop_301980
