route_id,route_short_name,stop_id,stop_name,sumo_stop_id
1,1,101S,Van Cortlandt Park-242 St,subway_stop_101S
1,1,103S,238 St,subway_stop_103S
1,1,104S,231 St,subway_stop_104S
1,1,106S,Marble Hill-225 St,subway_stop_106S
1,1,107S,215 St,subway_stop_107S
1,1,108S,207 St,subway_stop_108S
1,1,109S,Dyckman St,subway_stop_109S
1,1,110S,191 St,subway_stop_110S
1,1,111S,181 St,subway_stop_111S
1,1,112S,168 St-Washington Hts,subway_stop_112S
1,1,113S,157 St,subway_stop_113S
1,1,114S,145 St,subway_stop_114S
1,1,115S,137 St-City College,subway_stop_115S
1,1,116S,125 St,subway_stop_116S
1,1,117S,116 St-Columbia University,subway_stop_117S
1,1,118S,Cathedral Pkwy (110 St),subway_stop_118S
1,1,119S,103 St,subway_stop_119S
1,1,120S,96 St,subway_stop_120S
1,1,121S,86 St,subway_stop_121S
1,1,122S,79 St,subway_stop_122S
1,1,123S,72 St,subway_stop_123S
1,1,124S,66 St-Lincoln Center,subway_stop_124S
1,1,125S,59 St-Columbus Circle,subway_stop_125S
1,1,126S,50 St,subway_stop_126S
1,1,127S,Times Sq-42 St,subway_stop_127S
1,1,128S,34 St-Penn Station,subway_stop_128S
1,1,129S,28 St,subway_stop_129S
1,1,130S,23 St,subway_stop_130S
1,1,131S,18 St,subway_stop_131S
1,1,132S,14 St,subway_stop_132S
1,1,133S,Christopher St-Sheridan Sq,subway_stop_133S
1,1,134S,Houston St,subway_stop_134S
1,1,135S,Canal St,subway_stop_135S
1,1,136S,Franklin St,subway_stop_136S
1,1,137S,Chambers St,subway_stop_137S
1,1,138S,WTC Cortlandt,subway_stop_138S
1,1,139S,Rector St,subway_stop_139S
1,1,142S,South Ferry,subway_stop_142S
1,1,142N,South Ferry,subway_stop_142N
1,1,139N,Rector St,subway_stop_139N
1,1,138N,WTC Cortlandt,subway_stop_138N
1,1,137N,Chambers St,subway_stop_137N
1,1,136N,Franklin St,subway_stop_136N
1,1,135N,Canal St,subway_stop_135N
1,1,134N,Houston St,subway_stop_134N
1,1,133N,Christopher St-Sheridan Sq,subway_stop_133N
1,1,132N,14 St,subway_stop_132N
1,1,131N,18 St,subway_stop_131N
1,1,130N,23 St,subway_stop_130N
1,1,129N,28 St,subway_stop_129N
1,1,128N,34 St-Penn Station,subway_stop_128N
1,1,127N,Times Sq-42 St,subway_stop_127N
1,1,126N,50 St,subway_stop_126N
1,1,125N,59 St-Columbus Circle,subway_stop_125N
1,1,124N,66 St-Lincoln Center,subway_stop_124N
1,1,123N,72 St,subway_stop_123N
1,1,122N,79 St,subway_stop_122N
1,1,121N,86 St,subway_stop_121N
1,1,120N,96 St,subway_stop_120N
1,1,119N,103 St,subway_stop_119N
1,1,118N,Cathedral Pkwy (110 St),subway_stop_118N
1,1,117N,116 St-Columbia University,subway_stop_117N
1,1,116N,125 St,subway_stop_116N
1,1,115N,137 St-City College,subway_stop_115N
1,1,114N,145 St,subway_stop_114N
1,1,113N,157 St,subway_stop_113N
1,1,112N,168 St-Washington Hts,subway_stop_112N
1,1,111N,181 St,subway_stop_111N
1,1,110N,191 St,subway_stop_110N
1,1,109N,Dyckman St,subway_stop_109N
1,1,108N,207 St,subway_stop_108N
1,1,107N,215 St,subway_stop_107N
1,1,106N,Marble Hill-225 St,subway_stop_106N
1,1,104N,231 St,subway_stop_104N
1,1,103N,238 St,subway_stop_103N
1,1,101N,Van Cortlandt Park-242 St,subway_stop_101N
2,2,201S,Wakefield-241 St,subway_stop_201S
2,2,204S,Nereid Av,subway_stop_204S
2,2,205S,233 St,subway_stop_205S
2,2,206S,225 St,subway_stop_206S
2,2,207S,219 St,subway_stop_207S
2,2,208S,Gun Hill Rd,subway_stop_208S
2,2,209S,Burke Av,subway_stop_209S
2,2,210S,Allerton Av,subway_stop_210S
2,2,211S,Pelham Pkwy,subway_stop_211S
2,2,212S,Bronx Park East,subway_stop_212S
2,2,213S,E 180 St,subway_stop_213S
